ID	DOCULECT	CONCEPT	COGIDS	GLOSSID	IPA	TOKENS	PROTOSTEM	PROTOFORM	COUNTERPART	NOTE
135	Gaulish	four	33	49	petuar	p e t u a r	*kʷetwores	*kʷetwores	petuar
136	Old_Irish	tree	34	50	kran	k r a n	*kʷresnom	*kʷresnom	crann
137	Middle_Welsh	tree	34	50	pren	p r e n	*kʷresnom	*kʷresnom	prenn
138	Old_Breton	tree	34	50	pren	p r e n	*kʷresnom	*kʷresnom	pren
139	Gaulish	tree	34	51	prene	p r e n e	*kʷresnom	*kʷresnom	prenne	Glossed as "Big tree"
140	Old_Irish	crooked	35	52	kam	k a m	*kambo	*kambos	camm
141	Old_Welsh	evil	35	53	kam	k a m	*kambo	*kambos	cam
142	Old_Breton	evil	35	53	kam	k a m	*kambo	*kambos	camm
143	Gaulish	crooked	35	54	kambo	k a m b o	*kambo	*kambos	cambo	Only Attested as Proper noun
144	Old_Irish	hundred	36	55	kēd	k ē d	*kantom	*kantom	cét
145	Old_Welsh	hundred	36	55	kant	k a n t	*kantom	*kantom	cant
146	Old_Breton	hundred	36	55	kant	k a n t	*kantom	*kantom	cant
147	Old_Cornish	hundred	36	55	kans	k a n s	*kantom	*kantom	cans
148	Gaulish	hundred	36	55	kanto	k a n t o	*kantom	*kantom	canto	Attested as Canto-mili "100 milles / feet"
149	Celtiberian	hundred	36	55	kantom	k a n t o m	*kantom	*kantom	kantom
150	Old_Irish	friend	37	56	kara	k a r a	*karant-	*karants	cara
151	Old_Welsh	friend	37	56	kar	k a r	*karant-	*karants	car
152	Old_Breton	friend	37	56	kar	k a r	*karant-	*karants	car
153	Old_Cornish	friend	37	56	kar	k a r	*karant-	*karants	car
154	Gaulish	friend	37	57	karanto	k a r a n t o	*karant-	*karants	caranto
155	Old_Irish	meadow	38	58	kluən	k l u ə n	*klouni-	*klounis	clúain
156	Old_Welsh	meadow	38	58	klun	k l u n	*klouni-	*klounis	clun
157	Gaulish	meadow	38	58	klun	k l u n	*klouni-	*klounis	clun	Attested in toponym Clunia
158	Old_Irish	troop	39	59	kure	k u r e	*koryo-	*koryos	cuire
