ID	TOKENS	PROTOFORM	ALIGNMENT	IPA	COUNTERPART	COGIDS	DOCULECT	NOTE	HISTORY	STRUCTURE	BORROWING	CONCEPT	PROTO	GLOSSID
389	b ɜː θ	*búrdiz	( - - ) b ɜː - θ ( - - )	bɜːθ	birth	107	English					birth	*búrdiz	18
1951	b y r d	*búrdiz	( - - ) b ɜː - θ ( - - )	bɜːθ	byrd	107	Old_English	Kroonen *burdi- f. > OE (ġe)byrd; using simplex without ge-				birth	*búrdiz	18
388	ɡ ə b uː r t	*búrdiz	( ɡ ə ) b uː r t ( - - )	ɡəbuːrt	Geburt	107	German					birth	*búrdiz	18
856	b l uː t	*blōdą	b l uː t ( - - )	bluːt	bloed	235	Dutch					blood	*blōdą	19
855	b l ʌ d	*blōdą	b l ʌ d ( - - )	blʌd	blood	235	English					blood	*blōdą	19
1952	b l ō d	*blōdą	b l ʌ d ( - - )	bloːd	blōd	235	Old_English		Source: Wiktionary Old English Swadesh list (retrieved 2025-12-12) | Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			blood	*blōdą	19
854	b l uː t	*blōdą	b l uː t ( - - )	bluːt	Blut	235	German					blood	*blōdą	19
1302	b ɔ r t	*búrdą	b ɔ r t ( - - )	bɔrt	bord	357	Dutch					board	*búrdą	20
1301	b ɔː d	*búrdą	b ɔː - d ( - - )	bɔːd	board	357	English					board	*búrdą	20
1953	b o r d	*búrdą	b ɔː - d ( - - )	bɔːd	bord	357	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			board	*búrdą	20
1300	b ɔ r t	*búrdą	b ɔ r t ( - - )	bɔrt	Bord	357	German	BOR			Low German	board	*búrdą	20
1037	b eː n	*báiną	b eː n ( - - )	beːn	been	284	Dutch					bone	*báiną	21
1036	b əʊ n	*báiną	b əʊ n ( - - )	bəʊn	bone	284	English					bone	*báiną	21
1954	b ā n	*báiną	b əʊ n ( - - )	bɑːn	bān	284	Old_English	Proto: oblique *bainăn→*bainą (n. a-stem nom.sg.; Kroonen)				bone	*báiną	21
1035	b ai n	*báiną	b ai n ( - - )	bain	Bein	284	German			C V C		bone	*báiną	21
937	b uː k	*bōkz	b uː k ( - )	buːk	boek	257	Dutch					book	*bōkz	22
936	b ʊ k	*bōkz	b ʊ k ( - )	bʊk	book	257	English					book	*bōkz	22
1955	b ō c	*bōkz	b ʊ k ( - )	bʊk	bōc	257	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			book	*bōkz	22
935	b uː x	*bōkz	b uː x ( - )	buːx	Buch	257	German					book	*bōkz	22
382	b oː r ə	*burōjaną	b oː r ( - ) - ə - ( - - )	boːrə	boren	105	Dutch					bore	*burōjaną	23
381	b ɔː	*burōjaną	b ɔː r ( - ) - - - ( - - )	bɔː	bore	105	English					bore	*burōjaną	23
1956	b o r i a n	*búrōjaną	b ɔː r ( - ) - - - ( - - )	bɔː	borian	105	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bore	*burōjaną	23
380	b oː r ə n	*burōjaną	b oː r ( - ) - ə n ( - - )	boːrən	bohren	105	German					bore	*burōjaną	23
26	b uː z ə m	*bōsmaz	b uː z ə m ( - - )	buːzəm	boezem	7	Dutch					bosom	*bōsmaz	24
25	b ʊ z ə m	*bōsmaz	b ʊ z ə m ( - - )	bʊzəm	bosom	7	English					bosom	*bōsmaz	24
1957	b ō s m	*bōsmaz	b ʊ z ə m ( - - )	bʊzəm	bōsm	7	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bosom	*bōsmaz	24
24	b uː z ə n	*bōsmaz	b uː z ə n ( - - )	buːzən	Busen	7	German					bosom	*bōsmaz	24
641	b ɛɪ d ə	*bō	b ɛɪ ( d ə )	bɛɪdə	beide	176	Dutch					both	*bō	25
640	b əʊ θ	*bō	b əʊ ( θ - )	bəʊθ	both	176	English					both	*bō	25
1958	b ā ] ] [ [ þ ā	*bō	b əʊ ( θ - )	bəʊθ	bā]] [[þā	176	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			both	*bō	25
639	b ai d ə	*bō	b ai ( d ə )	baidə	beide	176	German					both	*bō	25
818	b oː d ə m	*búdmaz	b oː d ə m ( - - )	boːdəm	bodem	224	Dutch					bottom	*búdmaz	26
817	b ɔ t ə m	*búdmaz	b ɔ t ə m ( - - )	bɔtəm	bottom	224	English					bottom	*búdmaz	26
1959	b o t m	*búttmaz	b ɔ t ə m ( - - )	bɔtəm	botm	224	Old_English	Kroonen p.82: OE < *buttma- (oblique stem variant via PIE dissimilation)	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bottom	*búttmaz	26
816	b oː d ə n	*búdmaz	b oː d ə n ( - - )	boːdən	Boden	224	German	BOR				bottom	*búdmaz	26
224	b aʊ	*bōguz	b aʊ - ( - - )	baʊ	bough	62	English					bough	*bōguz	334
1960	b ō g	*bōguz	b aʊ - ( - - )	baʊ	bōg	62	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bough	*bōguz	334
223	b uː k	*bōguz	b uː k ( - - )	buːk	Bug	62	German					bough	*bōguz	334
1298	b œy ɣ ə	*báugijaną	b œy ɣ - ə - ( - - )	bœyɣə	buigen	356	Dutch					bow	*báugijaną	27
930	b œy ɣ ə	*béuganą	b œy ɣ ə - ( - - )	bœyɣə	buigen	255	Dutch					bow	*béuganą	27
1420	b oː x	*bugô	b oː x - -	boːx	boog	388	Dutch					bow	*bugô	27
1297	b əʊ	*báugijaną	b əʊ - - - - ( - - )	bəʊ	bow	356	English					bow	*báugijaną	27
1961	b ī e ġ a n	*báugijaną	b əʊ - - - - ( - - )	bəʊ	bīeġan	356	Old_English	Kroonen *baugjan- wv. 'to (make) bend' → OE bīeġan; boga is the noun *bugan-				bow	*báugijaną	27
929	b əʊ	*béuganą	b əʊ - - - ( - - )	bəʊ	bow	255	English					bow	*béuganą	27
1962	b u g o n	*búgun	b əʊ - - - ( - - )	bəʊ	bugon	255	Old_English	Past 3pl. Infinitive būgan has analogical ū (Campbell §740); past 3pl bugon is lautgesetzlich from *bugun.				bow	*búgun	27
1419	b əʊ	*bugô	b əʊ - - -	bəʊ	bow	388	English					bow	*bugô	27
1963	b o g a	*búgô	b əʊ - - -	bəʊ	boga	388	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bow	*bugô	27
1296	b ɔy ɡ ə n	*báugijaną	b ɔy ɡ - ə n ( - - )	bɔyɡən	beugen	356	German			C V c - v c		bow	*báugijaną	27
928	b iː ɡ ə n	*béuganą	b iː ɡ ə n ( - - )	biːɡən	biegen	255	German					bow	*béuganą	27
1418	b oː ɡ ə n	*bugô	b oː ɡ ə n	boːɡən	Bogen	388	German					bow	*bugô	27
1033	b uː r	*būrą	b uː - r ( - - )	buːr	boer	283	Dutch					bower	*būrą	28
1032	b aʊ ə	*būrą	b aʊ ə r ( - - )	baʊə	bower	283	English					bower	*būrą	28
1964	b ū r	*būrą	b aʊ ə r ( - - )	baʊə	būr	283	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bower	*būrą	28
1031	b au ə r	*būrą	b au ə r ( - - )	bauər	Bauer	283	German					bower	*būrą	28
798	b r ɑ n t	*brándaz	b r ɑ n t ( - - )	brɑnt	brand	218	Dutch					brand	*brándaz	29
797	b r æ n d	*brándaz	b r æ n d ( - - )	brænd	brand	218	English					brand	*brándaz	29
1965	b r a n d	*brándas	b r æ n d ( - - )	brænd	brandes	218	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)	 | Note: using gen.sg. *brandas (> brandes)		brand	*brándas	29
796	b r a n t	*brándaz	b r a n d ( - - )	brant	Brand	218	German					brand	*brándaz	29
1158	b r oː t	*bráudą	b r oː t ( - - )	broːt	brood	317	Dutch					bread	*bráudą	30
1157	b r ɛ d	*bráudą	b r ɛ d ( - - )	brɛd	bread	317	English					bread	*bráudą	30
1966	b r ē a d	*bráudą	b r ɛ d ( - - )	brɛd	brēad	317	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bread	*bráudą	30
1156	b r oː t	*bráudą	b r oː t ( - - )	broːt	Brot	317	German					bread	*bráudą	30
503	b r eː k ə	*brékaną	b r eː k ə - ( - - )	breːkə	breken	137	Dutch					break	*brékaną	31
502	b r eɪ k	*brékaną	b r eɪ k - - ( - - )	breɪk	break	137	English					break	*brékaną	31
1967	b r e c a n	*brékaną	b r eɪ k - - ( - - )	breɪk	brecan	137	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			break	*brékaną	31
501	b r ɛ x ə n	*brékaną	b r ɛ x ə n ( - - )	brɛxən	brechen	137	German					break	*brékaną	31
1773	b ɔ r s t	*brústz	b ɔ r - s t ( - )	bɔrst	borst	485	Dutch					breast	*brústz	32
1772	b r ɛ s t	*brústz	b - r ɛ s t ( - )	brɛst	breast	485	English					breast	*brústz	32
1968	b r ē o s t	*bréustą	b - r ɛ s t ( - )	breːo̯st	brēost	485	Old_English		Source: Wiktionary Old English Swadesh list (retrieved 2025-12-12) | Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh) | PROTOFORM updated: Kroonen p.76 *breusta-, R/T p.174 *breusta			breast	*bréustą	32
1771	b r ʊ s t	*brústz	b - r ʊ s t ( - )	brʊst	Brust	485	German					breast	*brústz	32
1516	b r uː k	*brōkiz	b r uː k ( - - )	bruːk	broek	415	Dutch	Proto: *brekăną→*brōkiz (Kroonen *brōk- f. 'breeches', nom.pl. with i-mutation)				breeches	*brōkiz	33
1515	b r ʊ k	*brōkiz	b r ʊ k ( - - )	brʊk	breeches	415	English	Proto: *brekăną→*brōkiz (Kroonen *brōk- f. 'breeches')				breeches	*brōkiz	33
1969	b r ē ċ	*brōkiz	b r ʊ k ( - - )	brʊk	brēċ	415	Old_English	Proto: *brekăną→*brōkiz (Kroonen *brōk- f. 'breeches', nom.pl.; i-umlaut ō→ē)				breeches	*brōkiz	33
1514	b r ʊ x	*brōkiz	b r ʊ x ( - - )	brʊx	Bruch	415	German	Proto: *brekăną→*brōkiz (Kroonen *brōk- f. 'breeches')				breeches	*brōkiz	33
296	b r œy t	*brūdiz	b r œy t ( - - )	brœyt	bruid	82	Dutch					bride	*brūdiz	34
295	b r aɪ d	*brūdiz	b r aɪ d ( - - )	braɪd	bride	82	English					bride	*brūdiz	34
1970	b r ȳ d	*brūdiz	b r aɪ d ( - - )	braɪd	brȳd	82	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bride	*brūdiz	34
294	b r au t	*brūdiz	b r au t ( - - )	braut	Braut	82	German					bride	*brūdiz	34
1652	b r ɛ ŋ ə	*brínganą	b r ɛ ŋ - ə - ( - - )	brɛŋə	brengen	453	Dutch					bring	*brínganą	35
1651	b r ɪ ŋ	*brínganą	b r ɪ ŋ - - - ( - - )	brɪŋ	bring	453	English					bring	*brínganą	35
1971	b r i n g a n	*brínganą	b r ɪ ŋ - - - ( - - )	brɪŋ	bringan	453	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bring	*brínganą	35
1650	b r ɪ ŋ ə n	*brínganą	b r ɪ ŋ - ə n ( - - )	brɪŋən	bringen	453	German					bring	*brínganą	35
1136	x ə b r œy k ə	*brūkaną	( x ə ) b r œy k ə - ( - - )	xəbrœykə	gebruiken	311	Dutch					brook	*brūkaną	36
1135	b r ʊ k	*brūkaną	( - - ) b r ʊ k - - ( - - )	brʊk	brook	311	English					brook	*brūkaną	36
1972	b r ū c a n	*brūkaną	( - - ) b r ʊ k - - ( - - )	brʊk	brūcan	311	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			brook	*brūkaną	36
1134	b r au x ə n	*brūkaną	( - - ) b r au x ə n ( - - )	brauxən	brauchen	311	German					brook	*brūkaną	36
34	b ɔ k	*búkkaz	b ɔ k ( - - )	bɔk	bok	9	Dutch					buck	*búkkaz	37
33	b ʌ k	*búkkaz	b ʌ k ( - - )	bʌk	buck	9	English					buck	*búkkaz	37
1973	b u c c	*búkkaz	b ʌ k ( - - )	bʌk	bucc	9	Old_English	DOCUMENTED EXCEPTION (per §17.10.34): Campbell §115 names bucca as exception to a-umlaut (regular outcome = **bocc, cf. OHG boch). No lautgesetzlich PROTOFORM available: every paradigm cell with low *a/*ō triggers a-umlaut, every cell with high *i triggers i-umlaut (→ **byċċ); attested bucc is doubly irregular.				buck	*búkkaz	37
32	b ɔ k	*búkkaz	b ɔ k ( - - )	bɔk	Bock	9	German					buck	*búkkaz	37
1754	b ɑ r s t ə	*bréstaną	b ɑ r - s t ə - ( - - )	bɑrstə	barsten	480	Dutch					burst	*bréstaną	38
1753	b ɜː s t	*bréstaną	b ɜː - - s t - - ( - - )	bɜːst	burst	480	English					burst	*bréstaną	38
