language	variety	form	display	sort_key	form_role	source_scope	source_ref	occurrence_id	origin	status
oe		bēag	bēag	beag	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:42	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:42:1	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md	auto
oe		bēag	bēag	beag	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:48	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:48:1	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md	auto
oe		bēag	bēag	beag	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:65	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:65:2	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md	auto
oe		bēag	bēag	beag	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:65	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:65:3	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md	auto
oe		bēag	bēag	beag	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:69	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:69:1	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md	auto
oe		bēag	bēag	beag	target_form	lexical_heading	bow — OE bēag	heading:3ed62e28fbbfe2	manifest	auto
oe		bēce	bēce	bece	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:21	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:21:1	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md	auto
oe		bēce	bēce	bece	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25:1	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md	auto
oe		bēċe	bēċe	bece	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25:2	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md	auto
oe		bēġen	bēġen	begen	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:22	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:22:1	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md	auto
oe		bēġen	bēġen	begen	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:26	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:26:1	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md	auto
oe		bēġen	bēġen	begen	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:30	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:30:1	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md	auto
oe		bēġen	bēġen	begen	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:37	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:37:1	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md	auto
oe		bēġen	bēġen	begen	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:39	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:39:1	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md	auto
oe		bēġen	bēġen	begen	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:44	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:44:1	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md	auto
