language	form	display	sort_key	form_role	source_scope	source_ref	origin	status	exclusion_reason	decision_action	decision_note
oe	meorde	meorde	meorde	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2124-meed-meorde.model.md:63	Germanic/docs/lexeme_reports/model_entries/2124-meed-meorde.model.md	auto	regular_output_default_exclusion		
oe	meorde	meorde	meorde	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2124-meed-meorde.model.md:64	Germanic/docs/lexeme_reports/model_entries/2124-meed-meorde.model.md	auto	regular_output_default_exclusion		
oe	nǣdl	nǣdl	naedl	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2136-needle-nǣdl.model.md:58	Germanic/docs/lexeme_reports/model_entries/2136-needle-nǣdl.model.md	auto	regular_output_default_exclusion		
oe	nafola	nafola	nafola	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2133-navel-nafola.model.md:61	Germanic/docs/lexeme_reports/model_entries/2133-navel-nafola.model.md	auto	regular_output_default_exclusion		
oe	neaht	neaht	neaht	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2140-night-niht.model.md:58	Germanic/docs/lexeme_reports/model_entries/2140-night-niht.model.md	auto	regular_output_default_exclusion		
oe	niht	niht	niht	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2140-night-niht.model.md:59	Germanic/docs/lexeme_reports/model_entries/2140-night-niht.model.md	auto	regular_output_default_exclusion		
oe	nosu	nosu	nosu	regular_output	table_semantic_auto	Germanic/docs/lexeme_reports/model_entries/2143-nose-nosu.model.md:60	table_semantic_rule	auto	regular_output_default_exclusion		
oe	ræste	ræste	raeste	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2152-rest-ræste.model.md:60	Germanic/docs/lexeme_reports/model_entries/2152-rest-ræste.model.md	auto	regular_output_default_exclusion		
oe	sǣ	sǣ	sae	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2169-sea-sǣ.model.md:53	Germanic/docs/lexeme_reports/model_entries/2169-sea-sǣ.model.md	auto	regular_output_default_exclusion		
oe	sæp	sæp	saep	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2168-sap-sæp.model.md:41	Germanic/docs/lexeme_reports/model_entries/2168-sap-sæp.model.md	auto	regular_output_default_exclusion		
oe	sæp	sæp	saep	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2168-sap-sæp.model.md:59	Germanic/docs/lexeme_reports/model_entries/2168-sap-sæp.model.md	auto	regular_output_default_exclusion		
oe	sċēaf	sċēaf	sceaf	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2184-shove-sċēaf.model.md:50	Germanic/docs/lexeme_reports/model_entries/2184-shove-sċēaf.model.md	auto	regular_output_default_exclusion		
oe	sċēawa	sċēawa	sceawa	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2318-show-(3sg)-sċēawaþ.model.md:43	Germanic/docs/lexeme_reports/model_entries/2318-show-(3sg)-sċēawaþ.model.md	auto	regular_output_default_exclusion		
oe	sċēawian	sċēawian	sceawian	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2318-show-(3sg)-sċēawaþ.model.md:42	Germanic/docs/lexeme_reports/model_entries/2318-show-(3sg)-sċēawaþ.model.md	auto	regular_output_default_exclusion		
oe	sċoldor	sċoldor	scoldor	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2183-shoulder-sċuldrum.model.md:47	Germanic/docs/lexeme_reports/model_entries/2183-shoulder-sċuldrum.model.md	auto	regular_output_default_exclusion		
oe	sċuldor	sċuldor	sculdor	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2183-shoulder-sċuldrum.model.md:48	Germanic/docs/lexeme_reports/model_entries/2183-shoulder-sċuldrum.model.md	auto	regular_output_default_exclusion		
oe	sife	sife	sife	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2189-sieve-sife.model.md:41	Germanic/docs/lexeme_reports/model_entries/2189-sieve-sife.model.md	auto	regular_output_default_exclusion		
oe	sife	sife	sife	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2189-sieve-sife.model.md:55	Germanic/docs/lexeme_reports/model_entries/2189-sieve-sife.model.md	auto	regular_output_default_exclusion		
oe	span	span	span	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2203-span-spanne.model.md:35	Germanic/docs/lexeme_reports/model_entries/2203-span-spanne.model.md	auto	regular_output_default_exclusion		
oe	span	span	span	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2203-span-spanne.model.md:46	Germanic/docs/lexeme_reports/model_entries/2203-span-spanne.model.md	auto	regular_output_default_exclusion		
oe	spanne	spanne	spanne	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2203-span-spanne.model.md:47	Germanic/docs/lexeme_reports/model_entries/2203-span-spanne.model.md	auto	regular_output_default_exclusion		
